data-film-id,data-film-name,data-film-slug,data-film-release-year,data-film-link
3273,Thappu Thalangal,thappu-thalangal,1978,https://letterboxd.com/film/thappu-thalangal
3275,Ilamai Oonjaladukirathu,ilamai-oonjaladukirathu,1978,https://letterboxd.com/film/ilamai-oonjaladukirathu
3276,En Kelvikku Enna Bathil,en-kelvikku-enna-bathil,1978,https://letterboxd.com/film/en-kelvikku-enna-bathil
3277,,justice-gopinath,,https://letterboxd.com/film/justice-gopinath
3278,Mullum Malarum,mullum-malarum,1978,https://letterboxd.com/film/mullum-malarum
3279,Sadhurangam,sadhurangam,1978,https://letterboxd.com/film/sadhurangam
3280,Thai Meethu Sathiyam,thai-meethu-sathiyam,1978,https://letterboxd.com/film/thai-meethu-sathiyam
3281,,vanakkathukuriya-kathaliye,,https://letterboxd.com/film/vanakkathukuriya-kathaliye
3282,Aayiram Jenmangal,aayiram-jenmangal,1978,https://letterboxd.com/film/aayiram-jenmangal
3283,Aval Appadithan,aval-appadithan,1978,https://letterboxd.com/film/aval-appadithan
3285,Mangudi Minor,mangudi-minor,1978,https://letterboxd.com/film/mangudi-minor
3286,Aarilirunthu Arubathu Varai,aarilirunthu-arubathu-varai,1979,https://letterboxd.com/film/aarilirunthu-arubathu-varai
3287,Dharma Yuddam,dharma-yuddam,1979,https://letterboxd.com/film/dharma-yuddam
3288,Naan Vazhavaippen,naan-vazhavaippen,1979,https://letterboxd.com/film/naan-vazhavaippen
3289,Thaayillamal Naanillai,thaayillamal-naanillai,1979,https://letterboxd.com/film/thaayillamal-naanillai
3290,Annai Oru Alayam,annai-oru-alayam,1979,https://letterboxd.com/film/annai-oru-alayam
3291,Kuppathu Raja,kuppathu-raja,1979,https://letterboxd.com/film/kuppathu-raja
3292,Ninaithaale Inikkum,ninaithaale-inikkum,1979,https://letterboxd.com/film/ninaithaale-inikkum
3294,Ellam Un Kairasi,ellam-un-kairasi,1980,https://letterboxd.com/film/ellam-un-kairasi
3295,Murattu Kaalai,murattu-kaalai-1980,1980,https://letterboxd.com/film/murattu-kaalai-1980
3296,Anbukku Naan Adimai,anbukku-naan-adimai,1980,https://letterboxd.com/film/anbukku-naan-adimai
3297,Kaali,kaali,1980,https://letterboxd.com/film/kaali
3298,Naan Potta Saval,naan-potta-saval,1980,https://letterboxd.com/film/naan-potta-saval
3301,Garjanai,garjanai,1981,https://letterboxd.com/film/garjanai
3302,Netrikan,netrikan,1981,https://letterboxd.com/film/netrikan
3303,Kazhugu,kazhugu,1981,https://letterboxd.com/film/kazhugu
3304,Ranuva Veeran,ranuva-veeran,1981,https://letterboxd.com/film/ranuva-veeran
3306,Moondru Mugam,moondru-mugam,1982,https://letterboxd.com/film/moondru-mugam
3307,Ranga,ranga,1982,https://letterboxd.com/film/ranga
3308,"Nandri, Meendum Varuga",nandri-meendum-varuga,1982,https://letterboxd.com/film/nandri-meendum-varuga
3309,Enkeyo Ketta Kural,enkeyo-ketta-kural,1982,https://letterboxd.com/film/enkeyo-ketta-kural
3310,Puthu Kavithai,puthu-kavithai,1982,https://letterboxd.com/film/puthu-kavithai
3311,Thanikattu Raja,thanikattu-raja,1982,https://letterboxd.com/film/thanikattu-raja
3312,Paayum Puli,paayum-puli,1983,https://letterboxd.com/film/paayum-puli
3313,Thai Veedu,thai-veedu,1983,https://letterboxd.com/film/thai-veedu
3314,Thudikkum Karangal,thudikkum-karangal,1983,https://letterboxd.com/film/thudikkum-karangal
3315,Adutha Varisu,adutha-varisu,1983,https://letterboxd.com/film/adutha-varisu
3316,Sivappu Sooriyan,sivappu-sooriyan,1983,https://letterboxd.com/film/sivappu-sooriyan
